spend_rank,vendor_code,vendor_name,total_spend,paid_lines,pct_of_total,running_pct_of_total
1,V2572,Continental Facilities Services LLC 1930,683169212.76,615,9.4487,9.4487
2,V2669,Meridian Advisory Partners LLC 3377,521791704.22,490,7.2167,16.6655
3,V1764,Vanguard Biologics Inc 2139,278270845.73,231,3.8487,20.5141
4,V0679,United MedTech Holdings 0618,201327345.71,334,2.7845,23.2986
5,V0190,Summit Clinical Reagents Holdings 2219,200276652.28,221,2.77,26.0686
6,V2793,Vertex Staffing Group Holdings 1021,190052776.36,196,2.6286,28.6972
7,V3236,Brightline Medical Devices Holdings 0137,182325099.52,208,2.5217,31.2188
8,V0247,Keystone Professional Services Group 1406,164742071.55,207,2.2785,33.4973
9,V2175,United Diagnostics Supply LLC 1847,162080288.91,182,2.2417,35.739
10,V2209,Atlas Diagnostics LLC 1891,157477791.96,302,2.178,37.9171
11,V1645,Summit Implant Solutions Ltd 2622,145775594.11,299,2.0162,39.9332
12,V2878,Coastal Health IT Ltd 0929,144046589.6,187,1.9923,41.9255
13,V2292,Ironwood Workforce Solutions Group 2767,141535603.89,179,1.9575,43.883
14,V1248,Crescent Medical Devices LLC 1893,116818657.01,170,1.6157,45.4987
15,V3037,Advanced Professional Services Ltd 0959,115207466.89,255,1.5934,47.0921
16,V2060,Reliable Pharmaceuticals Group 0185,107924037.69,245,1.4927,48.5848
17,V0309,Brightline Laboratory Supply Ltd 0193,98102462.74,168,1.3568,49.9416
18,V2902,Granite Conference Group Ltd 1392,88053977.28,248,1.2178,51.1595
19,V2680,Meridian Diagnostics Supply Holdings 0816,85217029.02,153,1.1786,52.3381
20,V1278,Northgate MedTech Group 0334,80431617.91,231,1.1124,53.4505
21,V3186,Cardinal Biologics LP 1361,72367598.15,263,1.0009,54.4514
22,V3308,Horizon Pharma Distribution Inc 1518,70038212.46,225,0.9687,55.4201
23,V1761,Bluegrass Laboratory Supply LLC 0020,64188280.99,258,0.8878,56.3078
24,V2392,Riverside Staffing Group Group 2033,61595741.38,248,0.8519,57.1597
25,V1722,Granite Laboratory Supply Group 3267,61390571.25,154,0.8491,58.0088
26,V3400,Reliable Partners LLP Inc 3075,61092249.54,221,0.8449,58.8538
27,V3442,Cornerstone Diagnostics LP 2990,59713909.92,227,0.8259,59.6797
28,V1915,Riverside Medical Devices Co 2212,57259944.18,129,0.7919,60.4716
29,V3102,Granite Implant Solutions Group 2500,56422788.76,139,0.7804,61.252
30,V1598,Precision Surgical Systems Co 2846,56337686.15,222,0.7792,62.0312
31,V2510,Heritage Associates Holdings 3278,55060646.79,192,0.7615,62.7927
32,V0827,Frontier Consulting Group LLC 1756,53561752.68,128,0.7408,63.5335
33,V1888,Heritage Implant Solutions Group 3168,48986315.61,124,0.6775,64.211
34,V3447,United Partners LLP Corp 2234,48804281.67,135,0.675,64.886
35,V2368,Evergreen Cloud Services Inc 1237,42349824.69,220,0.5857,65.4717
36,V0896,Cornerstone Supply Company Corp 0722,41969970.03,202,0.5805,66.0522
37,V3202,Metro Lodging Partners Group 2325,41087343.7,108,0.5683,66.6205
38,V2476,Vertex Biologics Group 0972,40979388.05,95,0.5668,67.1872
39,V2981,Premier Advisory Partners Corp 0313,38556245.93,114,0.5333,67.7205
40,V2099,Premier Implant Solutions Co 0247,35590308.67,112,0.4922,68.2127
41,V0349,Heritage Partners LLP LP 2312,32102290.97,177,0.444,68.6567
42,V2534,Highland Biologics Ltd 0974,31582231.46,110,0.4368,69.0935
43,V2328,Beacon MedTech LLC 2247,31020036.22,105,0.429,69.5226
44,V0535,Granite RX Wholesale Corp 3333,30763127.74,181,0.4255,69.948
45,V1325,Precision Diagnostics Supply Ltd 2161,28909541.58,187,0.3998,70.3479
46,V1953,Atlas Clinical Staffing LP 3187,28552757.27,119,0.3949,70.7428
47,V1457,Bluegrass BioSupply Ltd 1605,28259321.48,184,0.3908,71.1336
48,V0940,Keystone Medical Devices Group 2812,27063073.59,101,0.3743,71.5079
49,V0666,Allied Locum Partners Corp 0720,26037495.29,166,0.3601,71.8681
