cmpcode,docnum,yr,period,doccode,adddate
MSO,100001,2025,11,API,2025-05-06
MSO,100002,2026,1,API,2025-07-24
MSO,100003,2025,4,API,2024-10-07
MSO,100004,2026,3,API,2025-09-15
MSO,100005,2025,5,API,2024-11-10
MSO,100006,2025,4,API,2024-10-26
MSO,100007,2026,2,API,2025-08-20
MSO,100008,2025,4,API,2024-10-13
MSO,100009,2025,5,API,2024-11-09
FDN,100001,2026,2,API,2025-08-21
FDN,100002,2025,7,API,2025-01-15
FDN,100003,2024,10,API,2024-04-05
FDN,100004,2026,3,APC,2025-09-01
MSO,100010,2024,9,API,2024-03-02
MSO,100011,2025,11,API,2025-05-15
MSO,100012,2025,5,API,2024-11-22
MSO,100013,2024,11,API,2024-05-15
MSO,100014,2024,7,API,2024-01-05
MSO,100015,2024,12,API,2024-06-28
MSO,100016,2026,4,APC,2025-10-07
MSO,100017,2026,1,API,2025-07-24
MSO,100018,2025,12,APC,2025-06-05
MSO,100019,2025,7,APC,2025-01-09
MSO,100020,2026,2,API,2025-08-30
MSO,100021,2026,6,APC,2025-12-12
MSO,100022,2025,1,API,2024-07-01
MSO,100023,2026,4,API,2025-10-04
MSO,100024,2024,3,API,2023-09-25
MSO,100025,2025,5,API,2024-11-24
FDN,100005,2025,1,API,2024-07-22
FDN,100006,2025,11,API,2025-05-01
FDN,100007,2026,4,API,2025-10-23
FDN,100008,2026,2,API,2025-08-26
FDN,100009,2025,3,API,2024-09-14
FDN,100010,2026,1,API,2025-07-27
FDN,100011,2025,3,APC,2024-09-25
FDN,100012,2025,9,API,2025-03-13
FDN,100013,2024,4,API,2023-10-15
FDN,100014,2026,5,API,2025-11-26
FDN,100015,2025,6,API,2024-12-21
FDN,100016,2025,1,API,2024-07-30
FDN,100017,2024,12,API,2024-06-14
FDN,100018,2025,1,API,2024-07-23
FDN,100019,2025,10,API,2025-04-07
FDN,100020,2026,1,API,2025-07-16
FDN,100021,2025,7,API,2025-01-30
FDN,100022,2025,1,API,2024-07-15
FDN,100023,2025,8,API,2025-02-13
FDN,100024,2026,5,API,2025-11-20
FDN,100025,2025,11,APC,2025-05-09
FDN,100026,2024,10,APC,2024-04-08
FDN,100027,2024,3,API,2023-09-13
FDN,100028,2024,4,API,2023-10-17
FDN,100029,2025,10,API,2025-04-13
FDN,100030,2025,7,API,2025-01-02
FDN,100031,2024,12,API,2024-06-09
FDN,100032,2024,7,APC,2024-01-29
FDN,100033,2024,10,APC,2024-04-19
FDN,100034,2025,2,API,2024-08-13
FDN,100035,2025,12,API,2025-06-10
FDN,100036,2026,4,API,2025-10-14
FDN,100037,2024,11,API,2024-05-07
MSO,100026,2025,9,API,2025-03-22
MSO,100027,2025,7,API,2025-01-29
MSO,100028,2025,2,API,2024-08-28
MSO,100029,2026,2,API,2025-08-24
MSO,100030,2026,2,API,2025-08-08
MSO,100031,2025,7,API,2025-01-04
MSO,100032,2025,10,API,2025-04-22
MSO,100033,2024,10,API,2024-04-28
MSO,100034,2024,6,API,2023-12-26
MSO,100035,2025,5,API,2024-11-04
MSO,100036,2024,10,API,2024-04-07
MSO,100037,2025,6,API,2024-12-15
MSO,100038,2024,6,API,2023-12-04
MSO,100039,2025,12,API,2025-06-01
MSO,100040,2025,9,API,2025-03-11
MSO,100041,2025,11,API,2025-05-28
MSO,100042,2025,11,API,2025-05-05
MSO,100043,2025,5,APC,2024-11-11
MSO,100044,2025,2,API,2024-08-24
MSO,100045,2025,6,API,2024-12-27
