cmpcode,code,name,sname,elmlevel,adddate,deldate,endperiod,endyear,country,defaddr
MSO,V0001,Dominion Staffing Group Co 0678,DOMINION,3,2020-02-19,,0,0,USA,1
FDN,V0001,Dominion Staffing Group Co 0678,DOMINION,3,2020-02-19,,0,0,USA,1
MSO,V0002,Allied Health IT Holdings 0511,ALLIED,3,2020-08-30,,0,0,USA,1
FDN,V0003,Bluegrass Print Services Inc 0458,BLUEGRASS,3,2020-09-08,,0,0,IRL,1
FDN,V0004,Metro Consulting Group Ltd 2901,METRO,3,2021-05-27,,0,0,USA,1
MSO,V0005,Crescent Pharma Distribution Group 1654,CRESCENT,3,2019-02-15,,0,0,USA,1
MSO,V0006,Apex Energy Services Group 0664,APEX,3,2020-11-09,,0,0,USA,1
MSO,V0007,National Staffing Group LLC 2048,NATIONAL,3,2024-12-24,,0,0,USA,1
MSO,V0008,Highland Supply Company Group 0892,HIGHLAND,3,2024-05-02,,0,0,USA,1
FDN,V0009,Bluegrass Implant Solutions Inc 2858,BLUEGRASS,3,2021-04-21,,0,0,USA,1
MSO,V0010,Southpoint Data Systems Ltd 1126,SOUTHPOINT,3,2021-03-09,,0,0,USA,1
MSO,V0011,Summit Health IT Holdings 1217,SUMMIT,3,2021-06-06,,0,0,USA,1
FDN,V0011,Summit Health IT Holdings 1217,SUMMIT,3,2021-06-06,,0,0,USA,1
MSO,V0012,Metro Lodging Partners Co 1777,METRO,3,2019-11-01,,0,0,USA,1
FDN,V0012,Metro Lodging Partners Co 1777,METRO,3,2019-11-01,,0,0,USA,1
MSO,V0013,Evergreen Partners LLP LP 1101,EVERGREEN,3,2020-02-09,,0,0,USA,1
MSO,V0014,Advanced Print Services LP 3172,ADVANCED,3,2025-12-12,2025-12-31,6,2026,USA,1
FDN,V0015,United Software Solutions Inc 2305,UNITED,3,2023-11-07,,0,0,USA,1
MSO,V0016,Liberty Diagnostics Supply Inc 1075,LIBERTY,3,2023-09-28,,0,0,USA,1
FDN,V0016,Liberty Diagnostics Supply Inc 1075,LIBERTY,3,2023-09-28,,0,0,USA,1
MSO,V0017,National Property Mgmt Corp 1827,NATIONAL,3,2020-12-16,,0,0,USA,1
MSO,V0018,Riverside RX Wholesale Inc 1017,RIVERSIDE,3,2024-12-27,,0,0,USA,1
MSO,V0019,Premier General Supply Group 1749,PREMIER,3,2020-03-27,,0,0,USA,1
FDN,V0019,Premier General Supply Group 1749,PREMIER,3,2020-03-27,,0,0,USA,1
FDN,V0020,Frontier Consulting Group Group 2981,FRONTIER,3,2025-10-11,,0,0,USA,1
MSO,V0021,Precision Clinical Staffing Group 2612,PRECISION,3,2022-07-10,,0,0,USA,1
MSO,V0022,Bluegrass Lab Solutions Inc 0108,BLUEGRASS,3,2021-04-25,,0,0,USA,1
FDN,V0022,Bluegrass Lab Solutions Inc 0108,BLUEGRASS,3,2021-04-25,2022-04-08,10,2022,USA,1
MSO,V0023,National Energy Services Ltd 1478,NATIONAL,3,2024-04-02,,0,0,USA,1
FDN,V0023,National Energy Services Ltd 1478,NATIONAL,3,2024-04-02,,0,0,USA,1
FDN,V0024,Northgate General Supply Ltd 2676,NORTHGATE,3,2021-12-02,,0,0,USA,1
MSO,V0025,Pinnacle Healthcare Staffing Group 0038,PINNACLE,3,2020-11-20,,0,0,USA,1
FDN,V0026,Ironwood Medical Devices Inc 2660,IRONWOOD,3,2023-10-14,,0,0,USA,1
MSO,V0027,Harbor Property Mgmt Co 0053,HARBOR,3,2024-01-20,,0,0,USA,1
FDN,V0028,Bluegrass Drug Supply Holdings 0321,BLUEGRASS,3,2023-03-22,,0,0,USA,1
MSO,V0029,Premier MedTech Holdings 2972,PREMIER,3,2022-03-26,,0,0,USA,1
FDN,V0030,Heritage Advisory Partners LLC 0243,HERITAGE,3,2021-04-20,,0,0,USA,1
MSO,V0031,Dominion Locum Partners LP 3416,DOMINION,3,2021-10-29,,0,0,USA,1
FDN,V0031,Dominion Locum Partners LP 3416,DOMINION,3,2021-10-29,,0,0,USA,1
MSO,V0032,Evergreen Power & Light Ltd 0369,EVERGREEN,3,2025-02-12,,0,0,USA,1
FDN,V0032,Evergreen Power & Light Ltd 0369,EVERGREEN,3,2025-02-12,,0,0,USA,1
MSO,V0033,Heritage Lab Solutions Group 1302,HERITAGE,3,2021-07-07,,0,0,USA,1
FDN,V0033,Heritage Lab Solutions Group 1302,HERITAGE,3,2021-07-07,,0,0,USA,1
MSO,V0034,National Software Solutions Co 3327,NATIONAL,3,2025-10-08,,0,0,USA,1
MSO,V0035,Paramount Property Mgmt Group 0531,PARAMOUNT,3,2020-01-08,,0,0,USA,1
FDN,V0036,Meridian MedTech Inc 2918,MERIDIAN,3,2020-02-20,,0,0,USA,1
MSO,V0037,Beacon Medical Devices Group 2450,BEACON,3,2021-04-30,,0,0,CHE,1
MSO,V0038,Reliable Property Mgmt Inc 2888,RELIABLE,3,2019-01-08,,0,0,USA,1
MSO,V0039,Liberty Laboratory Supply Inc 0170,LIBERTY,3,2025-02-25,,0,0,USA,1
FDN,V0039,Liberty Laboratory Supply Inc 0170,LIBERTY,3,2025-02-25,,0,0,USA,1
MSO,V0040,Brightline Professional Services Group 0268,BRIGHTLINE,3,2021-05-20,,0,0,USA,1
MSO,V0041,Precision Health IT Group 1374,PRECISION,3,2019-09-19,,0,0,USA,1
FDN,V0042,Precision Supply Company Ltd 1617,PRECISION,3,2023-05-01,,0,0,USA,1
MSO,V0043,National Workforce Solutions Group 1069,NATIONAL,3,2025-09-15,,0,0,USA,1
FDN,V0043,National Workforce Solutions Group 1069,NATIONAL,3,2025-09-15,,0,0,USA,1
FDN,V0044,Continental BioSupply Ltd 2453,CONTINENTA,3,2025-12-15,,0,0,USA,1
MSO,V0045,Sentinel General Supply LP 3269,SENTINEL,3,2019-10-02,,0,0,USA,1
FDN,V0046,Cornerstone Supply Company Corp 1304,CORNERSTON,3,2024-07-19,,0,0,IRL,1
MSO,V0047,Regional Cloud Services Ltd 0665,REGIONAL,3,2021-07-14,,0,0,USA,1
FDN,V0047,Regional Cloud Services Ltd 0665,REGIONAL,3,2021-07-14,,0,0,USA,1
MSO,V0048,Crescent BioSupply Co 0829,CRESCENT,3,2024-11-07,,0,0,USA,1
FDN,V0049,Trinity Professional Services Group 3095,TRINITY,3,2023-03-30,,0,0,USA,1
MSO,V0050,Advanced Surgical Systems Inc 2516,ADVANCED,3,2024-02-14,,0,0,USA,1
FDN,V0050,Advanced Surgical Systems Inc 2516,ADVANCED,3,2024-02-14,,0,0,USA,1
MSO,V0051,Ironwood MedTech LLC 3224,IRONWOOD,3,2024-11-11,,0,0,USA,1
FDN,V0051,Ironwood MedTech LLC 3224,IRONWOOD,3,2024-11-11,,0,0,USA,1
MSO,V0052,United Biologics Group 1498,UNITED,3,2025-04-07,,0,0,USA,1
MSO,V0053,Riverside Supply Company Corp 1570,RIVERSIDE,3,2020-01-02,,0,0,USA,1
FDN,V0053,Riverside Supply Company Corp 1570,RIVERSIDE,3,2020-01-02,,0,0,USA,1
MSO,V0054,Cornerstone Professional Services Group 3019,CORNERSTON,3,2024-01-25,,0,0,USA,1
MSO,V0055,Heritage Clinical Staffing Inc 0640,HERITAGE,3,2019-12-27,,0,0,USA,1
MSO,V0056,Keystone Print Services Corp 0057,KEYSTONE,3,2025-08-09,,0,0,NLD,1
FDN,V0057,Crescent Data Systems Holdings 1343,CRESCENT,3,2023-05-26,,0,0,USA,1
MSO,V0058,Sentinel Facilities Services Group 1394,SENTINEL,3,2020-05-07,,0,0,USA,1
MSO,V0059,Bluegrass Implant Solutions Ltd 1082,BLUEGRASS,3,2021-01-18,,0,0,USA,1
FDN,V0059,Bluegrass Implant Solutions Ltd 1082,BLUEGRASS,3,2021-01-18,,0,0,USA,1
