cmpcode,code,elmlevel,grpcode
MSO,V0001,3,XDEPT
MSO,V0001,3,STAFFNG
FDN,V0001,3,XDEPT
FDN,V0001,3,STAFFNG
MSO,V0002,3,XDEPT
MSO,V0002,3,ITSVC
FDN,V0003,3,XDEPT
FDN,V0003,3,OFFICE
FDN,V0004,3,XDEPT
FDN,V0004,3,PROSVC
MSO,V0005,3,XDEPT
MSO,V0005,3,PHARMA
MSO,V0006,3,XDEPT
MSO,V0006,3,UTIL
MSO,V0007,3,XDEPT
MSO,V0007,3,STAFFNG
MSO,V0008,3,XDEPT
MSO,V0008,3,OFFICE
FDN,V0009,3,XDEPT
FDN,V0009,3,MEDDEV
MSO,V0010,3,XDEPT
MSO,V0010,3,ITSVC
MSO,V0011,3,XDEPT
MSO,V0011,3,ITSVC
FDN,V0011,3,XDEPT
FDN,V0011,3,ITSVC
MSO,V0012,3,XDEPT
MSO,V0012,3,TRAVEL
FDN,V0012,3,XDEPT
FDN,V0012,3,TRAVEL
MSO,V0013,3,XDEPT
MSO,V0013,3,PROSVC
MSO,V0014,3,XDEPT
MSO,V0014,3,OFFICE
FDN,V0015,3,XDEPT
FDN,V0015,3,ITSVC
MSO,V0016,3,XDEPT
MSO,V0016,3,LABSUP
FDN,V0016,3,XDEPT
FDN,V0016,3,LABSUP
MSO,V0017,3,XDEPT
MSO,V0017,3,FACIL
MSO,V0018,3,XDEPT
MSO,V0018,3,PHARMA
MSO,V0019,3,XDEPT
MSO,V0019,3,OFFICE
FDN,V0019,3,XDEPT
FDN,V0019,3,OFFICE
FDN,V0020,3,XDEPT
FDN,V0020,3,PROSVC
MSO,V0021,3,XDEPT
MSO,V0021,3,STAFFNG
MSO,V0022,3,XDEPT
MSO,V0022,3,LABSUP
FDN,V0022,3,XDEPT
FDN,V0022,3,LABSUP
MSO,V0023,3,XDEPT
MSO,V0023,3,UTIL
FDN,V0023,3,XDEPT
FDN,V0023,3,UTIL
FDN,V0024,3,XDEPT
FDN,V0024,3,OFFICE
MSO,V0025,3,XDEPT
MSO,V0025,3,STAFFNG
FDN,V0026,3,XDEPT
FDN,V0026,3,MEDDEV
MSO,V0027,3,XDEPT
MSO,V0027,3,FACIL
FDN,V0028,3,XDEPT
FDN,V0028,3,PHARMA
MSO,V0029,3,XDEPT
MSO,V0029,3,MEDDEV
FDN,V0030,3,XDEPT
FDN,V0030,3,PROSVC
MSO,V0031,3,XDEPT
MSO,V0031,3,STAFFNG
FDN,V0031,3,XDEPT
FDN,V0031,3,STAFFNG
MSO,V0032,3,XDEPT
MSO,V0032,3,UTIL
FDN,V0032,3,XDEPT
FDN,V0032,3,UTIL
MSO,V0033,3,XDEPT
MSO,V0033,3,LABSUP
FDN,V0033,3,XDEPT
FDN,V0033,3,LABSUP
MSO,V0034,3,XDEPT
MSO,V0034,3,ITSVC
MSO,V0035,3,XDEPT
MSO,V0035,3,FACIL
FDN,V0036,3,XDEPT
FDN,V0036,3,MEDDEV
MSO,V0037,3,XDEPT
MSO,V0037,3,MEDDEV
MSO,V0038,3,XDEPT
MSO,V0038,3,FACIL
MSO,V0039,3,XDEPT
MSO,V0039,3,LABSUP
FDN,V0039,3,XDEPT
FDN,V0039,3,LABSUP
MSO,V0040,3,XDEPT
MSO,V0040,3,PROSVC
MSO,V0041,3,XDEPT
MSO,V0041,3,ITSVC
FDN,V0042,3,XDEPT
FDN,V0042,3,OFFICE
MSO,V0043,3,XDEPT
MSO,V0043,3,STAFFNG
FDN,V0043,3,XDEPT
FDN,V0043,3,STAFFNG
FDN,V0044,3,XDEPT
FDN,V0044,3,LABSUP
MSO,V0045,3,XDEPT
MSO,V0045,3,OFFICE
FDN,V0046,3,XDEPT
FDN,V0046,3,OFFICE
MSO,V0047,3,XDEPT
MSO,V0047,3,ITSVC
FDN,V0047,3,XDEPT
FDN,V0047,3,ITSVC
MSO,V0048,3,XDEPT
MSO,V0048,3,LABSUP
FDN,V0049,3,XDEPT
FDN,V0049,3,PROSVC
MSO,V0050,3,XDEPT
MSO,V0050,3,MEDDEV
FDN,V0050,3,XDEPT
FDN,V0050,3,MEDDEV
MSO,V0051,3,XDEPT
MSO,V0051,3,MEDDEV
FDN,V0051,3,XDEPT
FDN,V0051,3,MEDDEV
MSO,V0052,3,XDEPT
MSO,V0052,3,PHARMA
MSO,V0053,3,XDEPT
MSO,V0053,3,OFFICE
FDN,V0053,3,XDEPT
FDN,V0053,3,OFFICE
MSO,V0054,3,XDEPT
MSO,V0054,3,PROSVC
MSO,V0055,3,XDEPT
MSO,V0055,3,STAFFNG
MSO,V0056,3,XDEPT
MSO,V0056,3,OFFICE
FDN,V0057,3,XDEPT
FDN,V0057,3,ITSVC
MSO,V0058,3,XDEPT
MSO,V0058,3,FACIL
MSO,V0059,3,XDEPT
MSO,V0059,3,MEDDEV
FDN,V0059,3,XDEPT
FDN,V0059,3,MEDDEV
MSO,V0060,3,XDEPT
MSO,V0060,3,MEDDEV
FDN,V0060,3,XDEPT
FDN,V0060,3,MEDDEV
MSO,V0061,3,XDEPT
MSO,V0061,3,PROSVC
MSO,V0062,3,XDEPT
MSO,V0062,3,FACIL
FDN,V0062,3,XDEPT
FDN,V0062,3,FACIL
